,offer_id,offer_type,adv_id,contractCode,kunlun_code,supid,traffic,country,created,type,adv_currency,revenue,t1,t2,outcome_dollar,cost,t3,t4
208,max,OFLX_GA,SD2022062541,CS2022055469,,,,US,20230202000000,JSXMLX_1,USD,88000,0,0,,0,0,0
209,lit,OFLX_GA,SD202109889,CS2021092054,,,,BR,20230202000000,JSXMLX_1,USD,30000,0,0,,0,0,0
210,flb,OFLX_GA,S0194,CS2021040297,,,,KR,20230202000000,JSXMLX_1,USD,4134000,0,0,,0,0,0
211,okx,OFLX_GA,SD2022083240,CS2022086971,,,,FR,20230202000000,JSXMLX_1,USD,150000,0,0,,0,0,0
212,pdw,OFLX_GA,S0223,CS2021081831,G103172,YMCS201709026,,IN,20230202000000,JSXMLX_1,USD,2400,0,0,USD,300,0,0
213,aen,OFLX_GA,S0233,CS2021081982,,,,TW,20230202000000,JSXMLX_1,USD,168000,0,0,,0,0,0
214,ntc,OFLX_GA,SD2022083253,CS2022087055,,,,IN,20230202000000,JSXMLX_1,USD,20000,0,0,,0,0,0
215,fgm,OFLX_GA,SD2022093377,CS2022097376,,,,ID,20230202000000,JSXMLX_1,USD,13000,0,0,,0,0,0
216,dom,OFLX_GA,S0278,CS2022024176,219,PCL20210108596,,IN,20230202000000,JSXMLX_1,USD,0,0,0,USD,30510,0,0
217,mpa,OFLX_GA,SD2022062528,CS2022055462,,,,CA,20230202000000,JSXMLX_1,USD,3000,0,0,,0,0,0
218,nsg,OFLX_GA,SD202107498,CS2021061199,,,,VN,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
219,flx,OFLX_GA,S0176,CS2021050423,G105025,,,KR,20230202000000,JSXMLX_1,USD,16600,0,0,,16016,0,0
220,gxm,OFLX_GA,S0270,CS2022024288,,,,TW,20230202000000,JSXMLX_1,USD,168000,0,0,,0,0,0
221,mvt2,OFLX_GA,S0054,CS2022087122,,,,RU,20230202000000,JSXMLX_1,USD,37500,0,0,,0,0,0
222,mpa,OFLX_GA,SD2022062528,CS2022055462,G105080,XNCS2018047,,RU,20230202000000,JSXMLX_1,USD,1300,0,0,USD,0,0,0
223,tic,OFLX_GA,SD2022082989,CS2022086909,,,,TH,20230202000000,JSXMLX_1,USD,210000,0,0,,0,0,0
224,nbd3,OFLX_GA,S0222,CS2021081952,,,,VN,20230202000000,JSXMLX_1,USD,8000,0,0,,0,0,0
225,sgd,OFLX_GA,S0073,CS2022066001,,,,SA,20230202000000,JSXMLX_1,USD,3360,0,0,,0,0,0
226,aen,OFLX_GA,S0233,CS2021081982,112380,PCL20210109713,,RU,20230202000000,JSXMLX_1,USD,60000,0,0,USD,111400,0,0
227,lit,OFLX_GA,SD202109889,CS2021092054,,,,PH,20230202000000,JSXMLX_1,USD,321120,0,0,,0,0,0
228,mvt2,OFLX_GA,S0054,CS2022087122,G105197,PCS2020050002,,MX,20230202000000,JSXMLX_1,USD,5000,0,0,USD,0,0,0
229,mvt2,OFLX_GA,S0054,CS2022087122,112114,PCS2020070001,,US,20230202000000,JSXMLX_1,USD,6500,0,0,USD,0,0,0
230,mlt,OFLX_GA,S0084,CS2021112974,112380,PCL20210109713,,BR,20230202000000,JSXMLX_1,USD,9600,0,0,USD,49900,0,0
231,fom,OFLX_GA,SD2022062720,CS2022066024,219,PCL20210108596,,TR,20230202000000,JSXMLX_1,USD,49000,0,0,USD,31110,0,0
232,gxm,OFLX_GA,S0270,CS2022024288,,,,SA,20230202000000,JSXMLX_1,USD,4000,0,0,,0,0,0
233,mpa,OFLX_GA,SD2022062528,CS2022055462,,,,KR,20230202000000,JSXMLX_1,USD,10500,0,0,,0,0,0
234,max,OFLX_GA,SD2022062541,CS2022055469,,,,MX,20230202000000,JSXMLX_1,USD,235000,0,0,,0,0,0
235,oem,OFLX_GA,SD202105158,CS2022034829,219,PCL20210108596,,IN,20230202000000,JSXMLX_1,USD,0,0,0,USD,63600,0,0
236,tic,OFLX_GA,SD2022082989,CS2022086909,,,,IN,20230202000000,JSXMLX_1,USD,2334200,0,0,,0,0,0
237,bid,OFLX_GA,SD2022052478,CS2022055668,219,PCL20210108596,,PH,20230202000000,JSXMLX_1,USD,17500,0,0,USD,31530,0,0
238,sgd,OFLX_GA,S0073,CS2022066001,,,,TW,20230202000000,JSXMLX_1,USD,53270,0,0,,0,0,0
239,mvt2,OFLX_GA,S0054,CS2022087122,G105214,PGZ2020070007,,TH,20230202000000,JSXMLX_1,USD,1700,0,0,CNY,61750,0,0
240,sgd,OFLX_GA,S0073,CS2022066001,G105214,PGZ2020070007,,TW,20230202000000,JSXMLX_1,USD,7000,0,0,CNY,287956,0,0
241,phm2,OFLX_GA,S0199,CS2022045048,,,,ZA,20230202000000,JSXMLX_1,USD,148500,0,0,,0,0,0
242,mar,OFLX_GA,SD2021121352,CS2021113033,,,,IT,20230202000000,JSXMLX_1,USD,1600000,0,0,,0,0,0
243,alf,OFLX_GA,S0261,CS2021113112,112380,PCL20210109713,,RU,20230202000000,JSXMLX_1,USD,336000,0,0,USD,729800,0,0
244,fly,OFLX_GA,S0194,CS2021040297,G103111,YMCS201710003,,KR,20230202000000,JSXMLX_1,USD,3000,0,0,USD,0,0,0
245,vik2,OFLX_GA,S0254,CS2021123422,,,,IN,20230202000000,JSXMLX_1,USD,2500,0,0,,0,0,0
246,gxm,OFLX_GA,S0270,CS2022024288,G104016,P-CS-2019127194,,ID,20230202000000,JSXMLX_1,USD,4800,0,0,USD,26600,0,0
247,gxm,OFLX_GA,S0270,CS2022024288,S2022010589,PCS2022014255,,US,20230202000000,JSXMLX_1,USD,1500,0,0,USD,0,0,0
248,bis,OFLX_GA,SD2022032091,CS2022034592,,,,MX,20230202000000,JSXMLX_1,USD,216000,0,0,,0,0,0
